Date,Description,Amount,Balance,Status
2025-10-14,WOOLWORTHS 1234 NEWTOWN,-27.41,4701.20,Posted
2025-10-15,OPAL TOP UP TRANSPORTNSW,-48.54,4652.66,Posted
2025-10-15,PAYROLL ACME PTY LTD,3250.00,7902.66,Posted
2025-10-16,7-ELEVEN 2410 ST PETERS,-73.75,7828.91,Posted
2025-10-17,WOOLWORTHS 1234 NEWTOWN,-78.31,7750.60,Posted
2025-10-18,GUZMAN Y GOMEZ BROADWAY,-32.54,7718.06,Posted
2025-10-18,WOOLWORTHS 1234 NEWTOWN,-115.50,7602.56,Posted
2025-10-19,GUZMAN Y GOMEZ BROADWAY,-17.42,7585.14,Posted
2025-10-20,AUSSIE BROADBAND PTY LTD,-89.00,7496.14,Posted
2025-10-24,OPAL TOP UP TRANSPORTNSW,-30.86,7465.28,Posted
2025-10-25,PAYMENT TO CREDIT CARD 4321,-1403.89,6061.39,Posted
2025-10-25,UBER* EATS SYDNEY,-33.66,6027.73,Posted
2025-10-25,WOOLWORTHS 1234 NEWTOWN,-135.40,5892.33,Posted
2025-10-27,ANYTIME FITNESS NEWTOWN,-28.95,5863.38,Posted
2025-10-27,BP MARRICKVILLE 2204,-66.60,5796.78,Posted
2025-10-28,GUZMAN Y GOMEZ BROADWAY,-25.47,5771.31,Posted
2025-10-28,OPAL TOP UP TRANSPORTNSW,-27.06,5744.25,Posted
2025-10-29,OPAL TOP UP TRANSPORTNSW,-20.08,5724.17,Posted
2025-10-29,PAYROLL ACME PTY LTD,3250.00,8974.17,Posted
2025-11-01,RENT 22 KING ST NEWTOWN,-1950.00,7024.17,Posted
2025-11-01,WOOLWORTHS 1234 NEWTOWN,-150.34,6873.83,Posted
2025-11-02,TRANSFER TO SAVINGS,-800.00,6073.83,Posted
2025-11-03,SYDNEY WATER CORPORATION,-155.69,5918.14,Posted
2025-11-04,OPAL TOP UP TRANSPORTNSW,-45.25,5872.89,Posted
2025-11-04,UBER* EATS SYDNEY,-40.21,5832.68,Posted
2025-11-05,7-ELEVEN 2410 ST PETERS,-77.56,5755.12,Posted
2025-11-05,OPAL TOP UP TRANSPORTNSW,-31.40,5723.72,Posted
2025-11-06,OPAL TOP UP TRANSPORTNSW,-36.74,5686.98,Posted
2025-11-08,TELSTRA MOBILE,-65.00,5621.98,Posted
2025-11-08,WOOLWORTHS METRO 1188 SYDNEY,-34.87,5587.11,Posted
2025-11-10,ANYTIME FITNESS NEWTOWN,-28.95,5558.16,Posted
2025-11-10,MARY S NEWTOWN,-42.52,5515.64,Posted
2025-11-10,OPAL TOP UP TRANSPORTNSW,-40.49,5475.15,Posted
2025-11-12,PAYROLL ACME PTY LTD,3250.00,8725.15,Posted
2025-11-12,WOOLWORTHS METRO 1188 SYDNEY,-156.93,8568.22,Posted
2025-11-15,UBER* EATS SYDNEY,-60.58,8507.64,Posted
2025-11-16,GUZMAN Y GOMEZ BROADWAY,-48.55,8459.09,Posted
2025-11-16,WOOLWORTHS METRO 1188 SYDNEY,-71.91,8387.18,Posted
2025-11-17,7-ELEVEN 2410 ST PETERS,-70.42,8316.76,Posted
2025-11-18,OPAL TOP UP TRANSPORTNSW,-41.22,8275.54,Posted
2025-11-19,OPAL TOP UP TRANSPORTNSW,-28.30,8247.24,Posted
2025-11-20,AUSSIE BROADBAND PTY LTD,-89.00,8158.24,Posted
2025-11-20,OPAL TOP UP TRANSPORTNSW,-25.27,8132.97,Posted
2025-11-21,OPAL TOP UP TRANSPORTNSW,-47.34,8085.63,Posted
2025-11-22,WOOLWORTHS 1234 NEWTOWN,-67.50,8018.13,Posted
2025-11-23,GUZMAN Y GOMEZ BROADWAY,-18.02,8000.11,Posted
2025-11-23,WOOLWORTHS METRO 1188 SYDNEY,-128.69,7871.42,Posted
2025-11-24,ANYTIME FITNESS NEWTOWN,-28.95,7842.47,Posted
2025-11-24,OPAL TOP UP TRANSPORTNSW,-35.25,7807.22,Posted
2025-11-25,PAYMENT TO CREDIT CARD 4321,-1981.96,5825.26,Posted
2025-11-26,MARY S NEWTOWN,-58.93,5766.33,Posted
2025-11-26,OPAL TOP UP TRANSPORTNSW,-30.39,5735.94,Posted
2025-11-26,PAYROLL ACME PTY LTD,3250.00,8985.94,Posted
2025-11-27,7-ELEVEN 2410 ST PETERS,-67.67,8918.27,Posted
2025-11-27,UBER* EATS SYDNEY,-36.74,8881.53,Posted
2025-12-01,OPAL TOP UP TRANSPORTNSW,-37.50,8844.03,Posted
2025-12-01,RENT 22 KING ST NEWTOWN,-1950.00,6894.03,Posted
2025-12-01,UBER* EATS SYDNEY,-32.68,6861.35,Posted
2025-12-02,TRANSFER TO SAVINGS,-800.00,6061.35,Posted
2025-12-04,OPAL TOP UP TRANSPORTNSW,-35.50,6025.85,Posted
2025-12-05,OPAL TOP UP TRANSPORTNSW,-35.04,5990.81,Posted
2025-12-05,WOOLWORTHS 1234 NEWTOWN,-49.74,5941.07,Posted
2025-12-07,MARY S NEWTOWN,-32.14,5908.93,Posted
2025-12-07,WOOLWORTHS METRO 1188 SYDNEY,-102.80,5806.13,Posted
2025-12-08,ANYTIME FITNESS NEWTOWN,-28.95,5777.18,Posted
2025-12-08,OPAL TOP UP TRANSPORTNSW,-37.97,5739.21,Posted
2025-12-08,TELSTRA MOBILE,-65.00,5674.21,Posted
2025-12-09,BP MARRICKVILLE 2204,-90.81,5583.40,Posted
2025-12-09,OPAL TOP UP TRANSPORTNSW,-37.98,5545.42,Posted
2025-12-10,PAYROLL ACME PTY LTD,3250.00,8795.42,Posted
2025-12-11,OPAL TOP UP TRANSPORTNSW,-39.22,8756.20,Posted
2025-12-13,MARY S NEWTOWN,-20.22,8735.98,Posted
2025-12-14,WOOLWORTHS METRO 1188 SYDNEY,-37.27,8698.71,Posted
2025-12-16,OPAL TOP UP TRANSPORTNSW,-47.63,8651.08,Posted
2025-12-18,GUZMAN Y GOMEZ BROADWAY,-62.23,8588.85,Posted
2025-12-18,OPAL TOP UP TRANSPORTNSW,-48.53,8540.32,Posted
2025-12-19,OPAL TOP UP TRANSPORTNSW,-23.59,8516.73,Posted
2025-12-20,7-ELEVEN 2410 ST PETERS,-83.15,8433.58,Posted
2025-12-20,AUSSIE BROADBAND PTY LTD,-89.00,8344.58,Posted
2025-12-20,UBER* EATS SYDNEY,-46.22,8298.36,Posted
2025-12-22,ANYTIME FITNESS NEWTOWN,-28.95,8269.41,Posted
2025-12-22,OPAL TOP UP TRANSPORTNSW,-30.13,8239.28,Posted
2025-12-24,PAYROLL ACME PTY LTD,3250.00,11489.28,Posted
2025-12-25,OPAL TOP UP TRANSPORTNSW,-20.85,11468.43,Posted
2025-12-25,PAYMENT TO CREDIT CARD 4321,-965.74,10502.69,Posted
2025-12-25,WOOLWORTHS 1234 NEWTOWN,-146.47,10356.22,Posted
2025-12-28,MARY S NEWTOWN,-57.14,10299.08,Posted
2025-12-29,BP MARRICKVILLE 2204,-76.18,10222.90,Posted
2025-12-31,WOOLWORTHS 1234 NEWTOWN,-104.25,10118.65,Posted
2026-01-01,RENT 22 KING ST NEWTOWN,-1950.00,8168.65,Posted
2026-01-02,OPAL TOP UP TRANSPORTNSW,-20.13,8148.52,Posted
2026-01-02,TRANSFER TO SAVINGS,-800.00,7348.52,Posted
2026-01-04,MCDONALDS NEWTOWN,-60.01,7288.51,Posted
2026-01-05,ANYTIME FITNESS NEWTOWN,-28.95,7259.56,Posted
2026-01-05,OPAL TOP UP TRANSPORTNSW,-21.15,7238.41,Posted
2026-01-05,UBER* EATS SYDNEY,-63.17,7175.24,Posted
2026-01-06,MARY S NEWTOWN,-60.74,7114.50,Posted
2026-01-06,OPAL TOP UP TRANSPORTNSW,-25.76,7088.74,Posted
2026-01-07,PAYROLL ACME PTY LTD,3250.00,10338.74,Posted
2026-01-08,7-ELEVEN 2410 ST PETERS,-55.25,10283.49,Posted
2026-01-08,TELSTRA MOBILE,-65.00,10218.49,Posted
2026-01-11,UBER* EATS SYDNEY,-45.74,10172.75,Posted
2026-01-11,WOOLWORTHS METRO 1188 SYDNEY,-29.21,10143.54,Posted
2026-01-12,OPAL TOP UP TRANSPORTNSW,-44.68,10098.86,Posted
2026-01-12,THAI POTHONG NEWTOWN,-48.38,10050.48,Posted
2026-01-12,WOOLWORTHS 1234 NEWTOWN,-149.69,9900.79,Posted
2026-01-13,OPAL TOP UP TRANSPORTNSW,-30.82,9869.97,Posted
2026-01-14,AGL ENERGY ONLINE,-301.95,9568.02,Posted
2026-01-14,OPAL TOP UP TRANSPORTNSW,-39.99,9528.03,Posted
2026-01-14,WOOLWORTHS METRO 1188 SYDNEY,-122.77,9405.26,Posted
2026-01-15,WOOLWORTHS METRO 1188 SYDNEY,-19.11,9386.15,Posted
2026-01-16,OPAL TOP UP TRANSPORTNSW,-44.76,9341.39,Posted
2026-01-18,UBER* EATS SYDNEY,-32.16,9309.23,Posted
2026-01-19,ANYTIME FITNESS NEWTOWN,-28.95,9280.28,Posted
2026-01-20,7-ELEVEN 2410 ST PETERS,-84.01,9196.27,Posted
2026-01-20,AUSSIE BROADBAND PTY LTD,-89.00,9107.27,Posted
2026-01-20,OPAL TOP UP TRANSPORTNSW,-35.91,9071.36,Posted
2026-01-21,PAYROLL ACME PTY LTD,3250.00,12321.36,Posted
2026-01-21,WOOLWORTHS METRO 1188 SYDNEY,-56.84,12264.52,Posted
2026-01-22,MCDONALDS NEWTOWN,-61.39,12203.13,Posted
2026-01-24,WOOLWORTHS METRO 1188 SYDNEY,-137.45,12065.68,Posted
2026-01-25,PAYMENT TO CREDIT CARD 4321,-766.75,11298.93,Posted
2026-01-25,WOOLWORTHS 1234 NEWTOWN,-74.22,11224.71,Posted
2026-01-27,THAI POTHONG NEWTOWN,-63.06,11161.65,Posted
2026-01-29,OPAL TOP UP TRANSPORTNSW,-20.11,11141.54,Posted
2026-01-30,WOOLWORTHS 1234 NEWTOWN,-109.47,11032.07,Posted
2026-01-31,WOOLWORTHS 1234 NEWTOWN,-117.96,10914.11,Posted
2026-02-01,7-ELEVEN 2410 ST PETERS,-72.27,10841.84,Posted
2026-02-01,RENT 22 KING ST NEWTOWN,-1950.00,8891.84,Posted
2026-02-02,ANYTIME FITNESS NEWTOWN,-28.95,8862.89,Posted
2026-02-02,TRANSFER TO SAVINGS,-800.00,8062.89,Posted
2026-02-03,OPAL TOP UP TRANSPORTNSW,-33.48,8029.41,Posted
2026-02-03,SYDNEY WATER CORPORATION,-183.61,7845.80,Posted
2026-02-04,OPAL TOP UP TRANSPORTNSW,-28.12,7817.68,Posted
2026-02-04,PAYROLL ACME PTY LTD,3250.00,11067.68,Posted
2026-02-05,OPAL TOP UP TRANSPORTNSW,-34.80,11032.88,Posted
2026-02-06,MCDONALDS NEWTOWN,-55.67,10977.21,Posted
2026-02-07,WOOLWORTHS METRO 1188 SYDNEY,-52.04,10925.17,Posted
2026-02-08,MARY S NEWTOWN,-58.43,10866.74,Posted
2026-02-08,TELSTRA MOBILE,-65.00,10801.74,Posted
2026-02-09,BP MARRICKVILLE 2204,-66.52,10735.22,Posted
2026-02-11,OPAL TOP UP TRANSPORTNSW,-40.33,10694.89,Posted
2026-02-12,WOOLWORTHS 1234 NEWTOWN,-146.35,10548.54,Posted
2026-02-13,OPAL TOP UP TRANSPORTNSW,-30.44,10518.10,Posted
2026-02-14,WOOLWORTHS 1234 NEWTOWN,-120.38,10397.72,Posted
2026-02-16,ANYTIME FITNESS NEWTOWN,-28.95,10368.77,Posted
2026-02-17,7-ELEVEN 2410 ST PETERS,-56.43,10312.34,Posted
2026-02-18,OPAL TOP UP TRANSPORTNSW,-37.36,10274.98,Posted
2026-02-18,PAYROLL ACME PTY LTD,3250.00,13524.98,Posted
2026-02-18,THAI POTHONG NEWTOWN,-46.52,13478.46,Posted
2026-02-19,OPAL TOP UP TRANSPORTNSW,-27.88,13450.58,Posted
2026-02-20,AUSSIE BROADBAND PTY LTD,-89.00,13361.58,Posted
2026-02-20,THAI POTHONG NEWTOWN,-64.35,13297.23,Posted
2026-02-23,OPAL TOP UP TRANSPORTNSW,-21.49,13275.74,Posted
2026-02-24,MARY S NEWTOWN,-40.75,13234.99,Posted
2026-02-24,WOOLWORTHS 1234 NEWTOWN,-93.48,13141.51,Posted
2026-02-25,PAYMENT TO CREDIT CARD 4321,-989.17,12152.34,Posted
2026-02-26,BP MARRICKVILLE 2204,-83.90,12068.44,Posted
2026-02-26,MCDONALDS NEWTOWN,-12.43,12056.01,Posted
2026-02-26,OPAL TOP UP TRANSPORTNSW,-38.31,12017.70,Posted
2026-02-27,OPAL TOP UP TRANSPORTNSW,-28.28,11989.42,Posted
2026-02-27,THAI POTHONG NEWTOWN,-22.15,11967.27,Posted
2026-02-28,WOOLWORTHS 1234 NEWTOWN,-80.74,11886.53,Posted
2026-03-01,MCDONALDS NEWTOWN,-21.37,11865.16,Posted
2026-03-01,RENT 22 KING ST NEWTOWN,-1950.00,9915.16,Posted
2026-03-01,WOOLWORTHS 1234 NEWTOWN,-40.46,9874.70,Posted
2026-03-02,ANYTIME FITNESS NEWTOWN,-28.95,9845.75,Posted
2026-03-02,TRANSFER TO SAVINGS,-800.00,9045.75,Posted
2026-03-04,PAYROLL ACME PTY LTD,3250.00,12295.75,Posted
2026-03-05,OPAL TOP UP TRANSPORTNSW,-24.33,12271.42,Posted
2026-03-06,OPAL TOP UP TRANSPORTNSW,-36.26,12235.16,Posted
2026-03-06,WOOLWORTHS METRO 1188 SYDNEY,-34.56,12200.60,Posted
2026-03-07,THAI POTHONG NEWTOWN,-39.80,12160.80,Posted
2026-03-07,WOOLWORTHS 1234 NEWTOWN,-102.37,12058.43,Posted
2026-03-08,TELSTRA MOBILE,-65.00,11993.43,Posted
2026-03-09,OPAL TOP UP TRANSPORTNSW,-42.31,11951.12,Posted
2026-03-09,THAI POTHONG NEWTOWN,-66.56,11884.56,Posted
2026-03-10,BP MARRICKVILLE 2204,-79.33,11805.23,Posted
2026-03-12,NEWTOWN DENTAL CARE,-280.00,11525.23,Posted
2026-03-12,THAI POTHONG NEWTOWN,-66.90,11458.33,Posted
2026-03-14,WOOLWORTHS 1234 NEWTOWN,-143.83,11314.50,Posted
2026-03-16,ANYTIME FITNESS NEWTOWN,-28.95,11285.55,Posted
2026-03-16,UBER* EATS SYDNEY,-51.26,11234.29,Posted
2026-03-16,WOOLWORTHS 1234 NEWTOWN,-93.02,11141.27,Posted
2026-03-17,OPAL TOP UP TRANSPORTNSW,-33.47,11107.80,Posted
2026-03-18,MCDONALDS NEWTOWN,-54.84,11052.96,Posted
2026-03-18,PAYROLL ACME PTY LTD,3250.00,14302.96,Posted
2026-03-19,7-ELEVEN 2410 ST PETERS,-75.39,14227.57,Posted
2026-03-20,AUSSIE BROADBAND PTY LTD,-89.00,14138.57,Posted
2026-03-20,OPAL TOP UP TRANSPORTNSW,-34.97,14103.60,Posted
2026-03-23,OPAL TOP UP TRANSPORTNSW,-24.00,14079.60,Posted
2026-03-24,OPAL TOP UP TRANSPORTNSW,-41.57,14038.03,Posted
2026-03-25,OPAL TOP UP TRANSPORTNSW,-39.59,13998.44,Posted
2026-03-25,PAYMENT TO CREDIT CARD 4321,-762.81,13235.63,Posted
2026-03-25,WOOLWORTHS 1234 NEWTOWN,-47.74,13187.89,Posted
2026-03-27,OPAL TOP UP TRANSPORTNSW,-47.85,13140.04,Posted
2026-03-27,THAI POTHONG NEWTOWN,-51.84,13088.20,Posted
2026-03-28,MCDONALDS NEWTOWN,-12.52,13075.68,Posted
2026-03-28,WOOLWORTHS 1234 NEWTOWN,-25.70,13049.98,Posted
2026-03-29,BP MARRICKVILLE 2204,-57.79,12992.19,Posted
2026-03-30,ANYTIME FITNESS NEWTOWN,-28.95,12963.24,Posted
2026-04-01,MARY S NEWTOWN,-62.33,12900.91,Posted
2026-04-01,OPAL TOP UP TRANSPORTNSW,-41.61,12859.30,Posted
2026-04-01,PAYROLL ACME PTY LTD,3250.00,16109.30,Posted
2026-04-01,RENT 22 KING ST NEWTOWN,-1950.00,14159.30,Posted
2026-04-02,TRANSFER TO SAVINGS,-800.00,13359.30,Posted
2026-04-03,OPAL TOP UP TRANSPORTNSW,-23.54,13335.76,Posted
2026-04-04,UBER* EATS SYDNEY,-23.28,13312.48,Posted
2026-04-04,WOOLWORTHS METRO 1188 SYDNEY,-157.64,13154.84,Posted
2026-04-05,MCDONALDS NEWTOWN,-46.40,13108.44,Posted
2026-04-06,THAI POTHONG NEWTOWN,-53.87,13054.57,Posted
2026-04-07,WOOLWORTHS 1234 NEWTOWN,-77.71,12976.86,Posted
2026-04-08,BP MARRICKVILLE 2204,-82.90,12893.96,Posted
2026-04-08,TELSTRA MOBILE,-65.00,12828.96,Posted
2026-04-10,OPAL TOP UP TRANSPORTNSW,-47.12,12781.84,Posted
2026-04-10,WOOLWORTHS METRO 1188 SYDNEY,-138.70,12643.14,Posted
2026-04-11,WOOLWORTHS METRO 1188 SYDNEY,-58.60,12584.54,Posted
2026-04-13,ANYTIME FITNESS NEWTOWN,-28.95,12555.59,Posted
2026-04-14,AGL ENERGY ONLINE,-319.62,12235.97,Posted
2026-04-14,OPAL TOP UP TRANSPORTNSW,-33.38,12202.59,Posted
2026-04-14,THAI POTHONG NEWTOWN,-53.55,12149.04,Posted
2026-04-15,PAYROLL ACME PTY LTD,3250.00,15399.04,Posted
2026-04-17,BP MARRICKVILLE 2204,-71.24,15327.80,Posted
2026-04-17,OPAL TOP UP TRANSPORTNSW,-41.47,15286.33,Posted
2026-04-18,MARY S NEWTOWN,-44.31,15242.02,Posted
2026-04-18,WOOLWORTHS METRO 1188 SYDNEY,-142.44,15099.58,Posted
2026-04-20,AUSSIE BROADBAND PTY LTD,-89.00,15010.58,Posted
2026-04-21,OPAL TOP UP TRANSPORTNSW,-26.58,14984.00,Posted
2026-04-25,PAYMENT TO CREDIT CARD 4321,-973.13,14010.87,Posted
2026-04-25,WOOLWORTHS METRO 1188 SYDNEY,-59.82,13951.05,Posted
2026-04-27,ANYTIME FITNESS NEWTOWN,-28.95,13922.10,Posted
2026-04-28,OPAL TOP UP TRANSPORTNSW,-29.89,13892.21,Posted
2026-04-29,7-ELEVEN 2410 ST PETERS,-58.71,13833.50,Posted
2026-04-29,PAYROLL ACME PTY LTD,3250.00,17083.50,Posted
2026-04-30,MARY S NEWTOWN,-45.42,17038.08,Posted
2026-04-30,OPAL TOP UP TRANSPORTNSW,-21.73,17016.35,Posted
2026-05-01,RENT 22 KING ST NEWTOWN,-1950.00,15066.35,Posted
2026-05-02,TRANSFER TO SAVINGS,-800.00,14266.35,Posted
2026-05-04,SYDNEY WATER CORPORATION,-173.78,14092.57,Posted
2026-05-04,THAI POTHONG NEWTOWN,-25.34,14067.23,Posted
2026-05-05,OPAL TOP UP TRANSPORTNSW,-46.64,14020.59,Posted
2026-05-06,GUZMAN Y GOMEZ BROADWAY,-62.05,13958.54,Posted
2026-05-06,JETSTAR AIRWAYS SYDNEY,-389.00,13569.54,Posted
2026-05-07,OPAL TOP UP TRANSPORTNSW,-37.28,13532.26,Posted
2026-05-08,TELSTRA MOBILE,-65.00,13467.26,Posted
2026-05-10,BP MARRICKVILLE 2204,-73.50,13393.76,Posted
2026-05-10,WOOLWORTHS 1234 NEWTOWN,-100.07,13293.69,Posted
2026-05-11,ANYTIME FITNESS NEWTOWN,-28.95,13264.74,Posted
2026-05-12,OPAL TOP UP TRANSPORTNSW,-20.85,13243.89,Posted
2026-05-13,OPAL TOP UP TRANSPORTNSW,-44.79,13199.10,Posted
2026-05-13,PAYROLL ACME PTY LTD,3250.00,16449.10,Posted
2026-05-15,OPAL TOP UP TRANSPORTNSW,-22.43,16426.67,Posted
2026-05-16,MCDONALDS NEWTOWN,-23.68,16402.99,Posted
2026-05-18,TRANSFER FROM SAVINGS,1500.00,17902.99,Posted
2026-05-19,MCDONALDS NEWTOWN,-23.15,17879.84,Posted
2026-05-20,AUSSIE BROADBAND PTY LTD,-89.00,17790.84,Posted
2026-05-21,OPAL TOP UP TRANSPORTNSW,-25.64,17765.20,Posted
2026-05-22,BP MARRICKVILLE 2204,-72.80,17692.40,Posted
2026-05-22,OPAL TOP UP TRANSPORTNSW,-46.16,17646.24,Posted
2026-05-24,MARY S NEWTOWN,-35.89,17610.35,Posted
2026-05-25,ANYTIME FITNESS NEWTOWN,-28.95,17581.40,Posted
2026-05-25,MARY S NEWTOWN,-29.15,17552.25,Posted
2026-05-25,OPAL TOP UP TRANSPORTNSW,-49.20,17503.05,Posted
2026-05-25,PAYMENT TO CREDIT CARD 4321,-812.08,16690.97,Posted
2026-05-26,OPAL TOP UP TRANSPORTNSW,-35.22,16655.75,Posted
2026-05-27,OPAL TOP UP TRANSPORTNSW,-44.79,16610.96,Posted
2026-05-27,PAYROLL ACME PTY LTD,3250.00,19860.96,Posted
2026-05-28,OPAL TOP UP TRANSPORTNSW,-37.81,19823.15,Posted
2026-05-29,MCDONALDS NEWTOWN,-38.34,19784.81,Posted
2026-05-29,OPAL TOP UP TRANSPORTNSW,-32.57,19752.24,Posted
2026-05-30,WOOLWORTHS METRO 1188 SYDNEY,-21.84,19730.40,Posted
2026-05-31,MARY S NEWTOWN,-41.38,19689.02,Posted
2026-05-31,WOOLWORTHS METRO 1188 SYDNEY,-49.45,19639.57,Posted
2026-06-01,BP MARRICKVILLE 2204,-66.12,19573.45,Posted
2026-06-01,RENT 22 KING ST NEWTOWN,-1950.00,17623.45,Posted
2026-06-02,TRANSFER TO SAVINGS,-800.00,16823.45,Posted
2026-06-03,OPAL TOP UP TRANSPORTNSW,-33.43,16790.02,Posted
2026-06-03,WOOLWORTHS METRO 1188 SYDNEY,-146.12,16643.90,Posted
2026-06-04,MARY S NEWTOWN,-21.19,16622.71,Posted
2026-06-05,OPAL TOP UP TRANSPORTNSW,-34.08,16588.63,Posted
2026-06-06,GUZMAN Y GOMEZ BROADWAY,-14.79,16573.84,Posted
2026-06-08,ANYTIME FITNESS NEWTOWN,-28.95,16544.89,Posted
2026-06-08,OPAL TOP UP TRANSPORTNSW,-25.58,16519.31,Posted
2026-06-08,TELSTRA MOBILE,-65.00,16454.31,Posted
2026-06-09,7-ELEVEN 2410 ST PETERS,-70.33,16383.98,Posted
2026-06-09,OPAL TOP UP TRANSPORTNSW,-30.96,16353.02,Posted
2026-06-10,PAYROLL ACME PTY LTD,3250.00,19603.02,Posted
2026-06-13,THAI POTHONG NEWTOWN,-25.25,19577.77,Posted
2026-06-16,MARY S NEWTOWN,-13.09,19564.68,Posted
2026-06-17,WOOLWORTHS METRO 1188 SYDNEY,-47.28,19517.40,Posted
2026-06-18,WOOLWORTHS 1234 NEWTOWN,-119.11,19398.29,Posted
2026-06-20,7-ELEVEN 2410 ST PETERS,-60.45,19337.84,Posted
2026-06-20,AUSSIE BROADBAND PTY LTD,-89.00,19248.84,Posted
2026-06-20,UBER* EATS SYDNEY,-45.09,19203.75,Posted
2026-06-22,ANYTIME FITNESS NEWTOWN,-28.95,19174.80,Posted
2026-06-22,OPAL TOP UP TRANSPORTNSW,-26.20,19148.60,Posted
2026-06-23,OPAL TOP UP TRANSPORTNSW,-30.01,19118.59,Posted
2026-06-24,OPAL TOP UP TRANSPORTNSW,-43.69,19074.90,Posted
2026-06-24,PAYROLL ACME PTY LTD,3250.00,22324.90,Posted
2026-06-25,OPAL TOP UP TRANSPORTNSW,-43.77,22281.13,Posted
2026-06-25,PAYMENT TO CREDIT CARD 4321,-1247.74,21033.39,Posted
2026-06-26,MCDONALDS NEWTOWN,-57.76,20975.63,Posted
2026-06-26,OPAL TOP UP TRANSPORTNSW,-21.20,20954.43,Posted
2026-06-27,WOOLWORTHS 1234 NEWTOWN,-133.65,20820.78,Posted
2026-06-28,7-ELEVEN 2410 ST PETERS,-82.77,20738.01,Posted
2026-06-28,MARY S NEWTOWN,-37.02,20700.99,Posted
2026-06-28,WOOLWORTHS METRO 1188 SYDNEY,-26.64,20674.35,Posted
2026-07-01,RENT 22 KING ST NEWTOWN,-1950.00,18724.35,Posted
2026-07-02,TRANSFER TO SAVINGS,-800.00,17924.35,Posted
