Transaction Date;Description;Amount
24 Feb 2026;SINGLE O SURRY HILLS;7.10
25 Feb 2026;COLES 0870 BROADWAY;94.72
25 Feb 2026;PAYMENT RECEIVED THANK YOU;-989.17
27 Feb 2026;CAMPOS COFFEE NEWTOWN;9.92
02 Mar 2026;BREWTOWN NEWTOWN;7.34
03 Mar 2026;SPOTIFY STOCKHOLM;12.99
05 Mar 2026;ALDI STORES - MARRICKVILLE;123.33
06 Mar 2026;SINGLE O SURRY HILLS;9.79
07 Mar 2026;COLES 0870 BROADWAY;69.53
08 Mar 2026;CHEMIST WAREHOUSE NEWTOWN;64.14
08 Mar 2026;COLES 0870 BROADWAY;129.10
10 Mar 2026;CAMPOS COFFEE NEWTOWN;8.90
11 Mar 2026;BREWTOWN NEWTOWN;12.44
13 Mar 2026;SINGLE O SURRY HILLS;6.57
15 Mar 2026;NETFLIX.COM;25.99
16 Mar 2026;CAMPOS COFFEE NEWTOWN;11.38
18 Mar 2026;SINGLE O SURRY HILLS;7.46
21 Mar 2026;CHEMIST WAREHOUSE NEWTOWN;46.24
23 Mar 2026;COLES 0870 BROADWAY;122.97
25 Mar 2026;PAYMENT RECEIVED THANK YOU;-762.81
27 Mar 2026;SINGLE O SURRY HILLS;12.47
29 Mar 2026;COLES 0870 BROADWAY;22.31
30 Mar 2026;CAMPOS COFFEE NEWTOWN;9.60
01 Apr 2026;CAMPOS COFFEE NEWTOWN;5.96
03 Apr 2026;BREWTOWN NEWTOWN;5.50
03 Apr 2026;SPOTIFY STOCKHOLM;12.99
05 Apr 2026;ALDI STORES - MARRICKVILLE;108.95
07 Apr 2026;CAMPOS COFFEE NEWTOWN;8.85
08 Apr 2026;BREWTOWN NEWTOWN;8.16
09 Apr 2026;KMART BROADWAY;101.59
09 Apr 2026;SINGLE O SURRY HILLS;5.92
10 Apr 2026;AMAZON AU MARKETPLACE;97.70
12 Apr 2026;COLES 0870 BROADWAY;130.67
13 Apr 2026;SINGLE O SURRY HILLS;4.87
14 Apr 2026;SINGLE O SURRY HILLS;4.82
15 Apr 2026;BREWTOWN NEWTOWN;8.70
15 Apr 2026;COLES 0870 BROADWAY;126.22
15 Apr 2026;NETFLIX.COM;25.99
17 Apr 2026;CAMPOS COFFEE NEWTOWN;7.04
20 Apr 2026;BREWTOWN NEWTOWN;8.72
21 Apr 2026;AMAZON AU MARKETPLACE;102.91
21 Apr 2026;BREWTOWN NEWTOWN;6.68
22 Apr 2026;COLES 0870 BROADWAY;55.01
23 Apr 2026;AMAZON AU MARKETPLACE;91.50
25 Apr 2026;PAYMENT RECEIVED THANK YOU;-973.13
27 Apr 2026;SINGLE O SURRY HILLS;7.52
30 Apr 2026;CAMPOS COFFEE NEWTOWN;7.45
03 May 2026;SPOTIFY STOCKHOLM;12.99
04 May 2026;BREWTOWN NEWTOWN;8.93
05 May 2026;SINGLE O SURRY HILLS;11.46
06 May 2026;CAMPOS COFFEE NEWTOWN;6.72
07 May 2026;SINGLE O SURRY HILLS;7.27
08 May 2026;BUNNINGS ALEXANDRIA;74.45
08 May 2026;CAMPOS COFFEE NEWTOWN;9.57
09 May 2026;ALDI STORES - MARRICKVILLE;109.07
11 May 2026;BREWTOWN NEWTOWN;11.97
12 May 2026;ALDI STORES - MARRICKVILLE;95.46
12 May 2026;BREWTOWN NEWTOWN;8.07
13 May 2026;CAMPOS COFFEE NEWTOWN;10.49
14 May 2026;BREWTOWN NEWTOWN;11.69
15 May 2026;AMAZON AU MARKETPLACE;129.81
15 May 2026;NETFLIX.COM;25.99
15 May 2026;SINGLE O SURRY HILLS;8.30
16 May 2026;ALDI STORES - MARRICKVILLE;32.12
18 May 2026;COLES 0870 BROADWAY;67.44
18 May 2026;SINGLE O SURRY HILLS;6.38
19 May 2026;CAMPOS COFFEE NEWTOWN;5.04
20 May 2026;CAMPOS COFFEE NEWTOWN;5.13
21 May 2026;CAMPOS COFFEE NEWTOWN;10.81
21 May 2026;KMART BROADWAY;62.99
22 May 2026;AMAZON AU MARKETPLACE;57.25
22 May 2026;CAMPOS COFFEE NEWTOWN;7.71
25 May 2026;PAYMENT RECEIVED THANK YOU;-812.08
26 May 2026;SINGLE O SURRY HILLS;10.52
27 May 2026;KMART BROADWAY;80.46
27 May 2026;SINGLE O SURRY HILLS;6.46
29 May 2026;SINGLE O SURRY HILLS;10.39
31 May 2026;ALDI STORES - MARRICKVILLE;116.71
01 Jun 2026;CAMPOS COFFEE NEWTOWN;4.87
02 Jun 2026;AMAZON AU MARKETPLACE;124.29
02 Jun 2026;COLES 0870 BROADWAY;25.78
02 Jun 2026;SINGLE O SURRY HILLS;11.81
03 Jun 2026;SPOTIFY STOCKHOLM;12.99
05 Jun 2026;SINGLE O SURRY HILLS;4.95
07 Jun 2026;AMAZON AU MARKETPLACE;56.96
08 Jun 2026;CAMPOS COFFEE NEWTOWN;10.28
09 Jun 2026;BREWTOWN NEWTOWN;8.90
10 Jun 2026;SINGLE O SURRY HILLS;8.27
11 Jun 2026;AMAZON AU MARKETPLACE;14.88
11 Jun 2026;COLES 0870 BROADWAY;63.77
12 Jun 2026;SINGLE O SURRY HILLS;10.08
13 Jun 2026;ALDI STORES - MARRICKVILLE;130.10
15 Jun 2026;NETFLIX.COM;25.99
16 Jun 2026;BREWTOWN NEWTOWN;6.56
16 Jun 2026;COLES 0870 BROADWAY;49.67
17 Jun 2026;SINGLE O SURRY HILLS;11.87
18 Jun 2026;COLES 0870 BROADWAY;35.95
19 Jun 2026;COLES 0870 BROADWAY;58.99
22 Jun 2026;BREWTOWN NEWTOWN;7.58
23 Jun 2026;AMAZON AU MARKETPLACE;134.19
24 Jun 2026;AMAZON AU MARKETPLACE;66.31
24 Jun 2026;COLES 0870 BROADWAY;129.91
24 Jun 2026;SINGLE O SURRY HILLS;8.25
25 Jun 2026;PAYMENT RECEIVED THANK YOU;-1247.74
25 Jun 2026;SINGLE O SURRY HILLS;10.93
26 Jun 2026;SINGLE O SURRY HILLS;9.34
29 Jun 2026;ALDI STORES - MARRICKVILLE;52.18
30 Jun 2026;CAMPOS COFFEE NEWTOWN;5.18
02 Jul 2026;SINGLE O SURRY HILLS;8.04
03 Jul 2026;CAMPOS COFFEE NEWTOWN;8.27
03 Jul 2026;SPOTIFY STOCKHOLM;12.99
07 Jul 2026;CAMPOS COFFEE NEWTOWN;7.04
08 Jul 2026;SINGLE O SURRY HILLS;7.35
09 Jul 2026;CAMPOS COFFEE NEWTOWN;11.38
10 Jul 2026;CAMPOS COFFEE NEWTOWN;4.89
13 Jul 2026;BUNNINGS ALEXANDRIA;43.72
14 Jul 2026;BREWTOWN NEWTOWN;11.03
15 Jul 2026;CAMPOS COFFEE NEWTOWN;8.32
15 Jul 2026;COLES 0870 BROADWAY;99.22
15 Jul 2026;NETFLIX.COM;25.99
16 Jul 2026;SINGLE O SURRY HILLS;7.46
17 Jul 2026;BREWTOWN NEWTOWN;11.69
17 Jul 2026;COLES 0870 BROADWAY;67.24
20 Jul 2026;CAMPOS COFFEE NEWTOWN;6.37
21 Jul 2026;BREWTOWN NEWTOWN;6.59
21 Jul 2026;BUNNINGS ALEXANDRIA;72.49
24 Jul 2026;CAMPOS COFFEE NEWTOWN;11.37
25 Jul 2026;PAYMENT RECEIVED THANK YOU;-509.08
26 Jul 2026;BUNNINGS ALEXANDRIA;110.84
28 Jul 2026;SINGLE O SURRY HILLS;5.69
29 Jul 2026;CHEMIST WAREHOUSE NEWTOWN;107.73
30 Jul 2026;AMAZON AU MARKETPLACE;133.57
30 Jul 2026;CAMPOS COFFEE NEWTOWN;6.25
31 Jul 2026;ALDI STORES - MARRICKVILLE;23.79
31 Jul 2026;BREWTOWN NEWTOWN;11.26
01 Aug 2026;AMAZON AU MARKETPLACE;28.51
03 Aug 2026;ALDI STORES - MARRICKVILLE;75.43
03 Aug 2026;SPOTIFY STOCKHOLM;12.99
07 Aug 2026;CAMPOS COFFEE NEWTOWN;8.49
09 Aug 2026;COLES 0870 BROADWAY;62.69
11 Aug 2026;BUNNINGS ALEXANDRIA;114.57
11 Aug 2026;COLES 0870 BROADWAY;109.18
12 Aug 2026;CAMPOS COFFEE NEWTOWN;11.88
13 Aug 2026;COLES 0870 BROADWAY;83.95
14 Aug 2026;ALDI STORES - MARRICKVILLE;130.04
14 Aug 2026;SINGLE O SURRY HILLS;5.69
15 Aug 2026;CHEMIST WAREHOUSE NEWTOWN;51.73
15 Aug 2026;NETFLIX.COM;25.99
17 Aug 2026;CAMPOS COFFEE NEWTOWN;4.99
19 Aug 2026;CAMPOS COFFEE NEWTOWN;6.03
21 Aug 2026;AMAZON AU MARKETPLACE;47.84
21 Aug 2026;SINGLE O SURRY HILLS;6.56
24 Aug 2026;COLES 0870 BROADWAY;68.25
25 Aug 2026;AMAZON AU MARKETPLACE;92.55
25 Aug 2026;PAYMENT RECEIVED THANK YOU;-1253.94
26 Aug 2026;SINGLE O SURRY HILLS;7.04
27 Aug 2026;BREWTOWN NEWTOWN;11.13
28 Aug 2026;CAMPOS COFFEE NEWTOWN;12.37
30 Aug 2026;CHEMIST WAREHOUSE NEWTOWN;97.88
31 Aug 2026;SINGLE O SURRY HILLS;6.22
02 Sep 2026;COLES 0870 BROADWAY;19.71
03 Sep 2026;SPOTIFY STOCKHOLM;12.99
08 Sep 2026;ALDI STORES - MARRICKVILLE;76.02
